timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772396109949,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396109968,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110041,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110061,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396110133,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396110154,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110227,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396110248,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110320,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110342,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110412,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110434,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110504,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396110525,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
